"Harmonized_name","1986","1992","1998","2004","2010","2014","2017","2020","Topic","Notes"
"JEGRAVE_AUT","N/A","JER21e, JEC21e","N/A","JEGRAVE7","JEGRAVE7","JEGRAVE7","JEGRAVE_AUT","To be filled","Youth",NA
"JEQUIT","N/A","JER22, JEC22","N/A","JEQUIT","JEQUIT","JEQUIT","JEQUIT","To be filled","Youth",NA
"JAGEQUIT","N/A","N/A","N/A","JAGEQUIT","JAGEQUIT","JAGEQUIT","JAGEQUIT","To be filled","Youth",NA
"JEETUD","DI3, DI4","JEy01","JE1","JEETUD","ANFINETU","DATEFORA","DATEFORA","To be filled","Youth",NA
"JAGETUD","N/A","N/A","N/A","JAGETUD","AGFINETU","AGFOR","AGFOR","To be filled","Youth",NA
"JE2","ENP2, ENC2","JER07, JEC07","JE2","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JE3","ENP3, ENC3","JER11, JEC11","JE3","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JE4","ENP4, ENC4","JER12, JEC12","JE4","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JE52,ENP6","ENC6""","JER16, JEC16","JE52","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JE53","ENP8, ENC8","JER17, JEC17","JE53","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JE54","N/A","N/A","JE54","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JE55","N/A","N/A","JE55","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JE51","ENP7, ENC7","JER18, JEC18","JE51","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JE511","N/A","JER19, JEC19","JE511","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JER02,JEC02","DI5, DI6","JER02, JEC02","N/A","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JER06,JEC06","ENP1, ENC1","JER06, JEC06","N/A","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JER09,JEC09","N/A","JER09, JEC09","N/A","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JER09,JEC09","N/A","JER09, JEC09","N/A","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JER10,JEC10","N/A","JER10, JEC10","N/A","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JER13,JEC13","N/A","JER13, JEC13","N/A","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JER14,JEC14","N/A","JER14, JEC14","N/A","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"JER15,JEC15","N/A","JER15, JEC15","N/A","N/A","N/A","N/A","N/A","To be filled","Youth",NA
"ZCHOMAGE","N/A","N/A","N/A","N/A","ZCHOMAGE","ZCHOMAGE","ZCHOMAGE","ZCHOMAGE","Income",NA
"ZCRDSM","N/A","N/A","N/A","N/A","N/A","ZCRDSM","ZCRDSM","ZCRDSM","Income",NA
"ZCSGCRDS","N/A","N/A","N/A","N/A","ZCSGCRDS","ZCSGCRDS","ZCSGCRDS","ZCSGCRDS","Income",NA
"ZCSGDM","N/A","N/A","N/A","N/A","N/A","ZCSGDM","ZCSGDM","ZCSGDM","Income",NA
"ZCSGIM","N/A","N/A","N/A","N/A","N/A","ZCSGIM","ZCSGIM","ZCSGIM","Income",NA
"ZCSGREVPAT","N/A","N/A","N/A","N/A","N/A","ZCSGREVPAT","ZCSGREVPAT","ZCSGREVPAT","Income",NA
"ZETRANGER","N/A","N/A","N/A","N/A","N/A","ZETRANGER","ZETRANGER","ZETRANGER","Income",NA
"ZFONCIER","N/A","N/A","N/A","N/A","ZFONCIER","ZFONCIER","ZFONCIER","ZFONCIER","Income",NA
"ZIMPOM","N/A","N/A","N/A","N/A","ZIMPOM","ZIMPOM","ZIMPOM","ZIMPOM","Income",NA
"ZIMPOT","N/A","N/A","N/A","N/A","ZIMPOT","ZIMPOT","N/A","N/A","Income",NA
"ZIMPVALM","N/A","N/A","N/A","N/A","ZIMPVALM","ZIMPVALM","ZIMPVALM","ZIMPVALM","Income",NA
"ZINVALIDITE","N/A","N/A","N/A","N/A","N/A","ZINVALIDITE","ZINVALIDITE","ZINVALIDITE","Income",NA
"ZM_PPEM","N/A","N/A","N/A","N/A","ZM_PPEM","ZM_PPEM","N/A","N/A","Income","The """"prime pour l'emploi"""" policy ended on 31/12/2015."
"ZNIVVIE","N/A","N/A","N/A","N/A","ZNIVVIE","ZNIVVIE","ZNIVVIE","ZNIVVIE","Income",NA
"ZPENALIR","N/A","N/A","N/A","N/A","ZPENALIR","ZPENALIR","ZPENALIR","ZPENALIR","Income",NA
"ZPENALIV","N/A","N/A","N/A","N/A","ZPENALIV","ZPENALIV","ZPENALIV","ZPENALIV","Income",NA
"ZPFAMILLE","N/A","N/A","N/A","N/A","N/A","ZPFAMILLE","ZPFAMILLE","ZPFAMILLE","Income",NA
"ZPLOGEMENT","N/A","N/A","N/A","N/A","N/A","ZPLOGEMENT","ZPLOGEMENT","ZPLOGEMENT","Income",NA
"ZPREST_HORS_RD","N/A","N/A","N/A","N/A","N/A","ZPREST_HORS_RD","N/A","N/A","Income",NA
"ZPRESTATION","N/A","N/A","N/A","N/A","N/A","ZPRESTATION","N/A","N/A","Income",NA
